ElapsedTime,Time,01.TargetTemp,01.State
13696328,2010-01-05T04:42:55.443Z,850,0
13706337,2010-01-05T04:43:05.452Z,850,0
13716337,2010-01-05T04:43:15.452Z,850,0
13726338,2010-01-05T04:43:25.453Z,850,0
13736342,2010-01-05T04:43:35.457Z,850,0
13746347,2010-01-05T04:43:45.462Z,850,0
13756353,2010-01-05T04:43:55.468Z,850,0
13766357,2010-01-05T04:44:05.472Z,850,0
13776360,2010-01-05T04:44:15.475Z,850,0
13786368,2010-01-05T04:44:25.483Z,850,0
13796372,2010-01-05T04:44:35.487Z,850,0
13806374,2010-01-05T04:44:45.489Z,850,0
13816382,2010-01-05T04:44:55.497Z,850,0
13826384,2010-01-05T04:45:05.499Z,850,0
13836390,2010-01-05T04:45:15.505Z,850,0
13846393,2010-01-05T04:45:25.508Z,850,0
13856396,2010-01-05T04:45:35.511Z,850,0
13866400,2010-01-05T04:45:45.515Z,850,0
13876420,2010-01-05T04:45:55.535Z,850,0
13886421,2010-01-05T04:46:05.536Z,850,0
13896427,2010-01-05T04:46:15.542Z,850,0
13906432,2010-01-05T04:46:25.547Z,850,0
13916433,2010-01-05T04:46:35.548Z,850,0
13926440,2010-01-05T04:46:45.555Z,850,0
13936442,2010-01-05T04:46:55.557Z,850,0
13946448,2010-01-05T04:47:05.563Z,850,0
13956449,2010-01-05T04:47:15.564Z,850,0
13966454,2010-01-05T04:47:25.569Z,850,0
13976458,2010-01-05T04:47:35.573Z,850,0
13986463,2010-01-05T04:47:45.578Z,850,0
13996475,2010-01-05T04:47:55.590Z,850,0
14006474,2010-01-05T04:48:05.589Z,850,0
14016478,2010-01-05T04:48:15.593Z,850,0
14026484,2010-01-05T04:48:25.599Z,850,0
14036494,2010-01-05T04:48:35.609Z,850,0
14046490,2010-01-05T04:48:45.605Z,850,0
14056498,2010-01-05T04:48:55.613Z,850,0
14066501,2010-01-05T04:49:05.616Z,850,0
14076505,2010-01-05T04:49:15.620Z,850,0
14086509,2010-01-05T04:49:25.624Z,850,0
14096510,2010-01-05T04:49:35.625Z,850,0
14106518,2010-01-05T04:49:45.633Z,850,0
14116521,2010-01-05T04:49:55.636Z,850,0
14126525,2010-01-05T04:50:05.640Z,850,0
14136527,2010-01-05T04:50:15.642Z,850,0
14146536,2010-01-05T04:50:25.651Z,850,0
14156536,2010-01-05T04:50:35.651Z,850,0
14166542,2010-01-05T04:50:45.657Z,850,0
14176546,2010-01-05T04:50:55.661Z,850,0
14186551,2010-01-05T04:51:05.666Z,850,0
14196555,2010-01-05T04:51:15.670Z,850,0
14206559,2010-01-05T04:51:25.674Z,850,0
14216570,2010-01-05T04:51:35.685Z,850,0
14226568,2010-01-05T04:51:45.683Z,850,0
14236579,2010-01-05T04:51:55.694Z,850,0
14246580,2010-01-05T04:52:05.695Z,850,0
14256581,2010-01-05T04:52:15.696Z,850,0
